Headlines,Time,Description
Cramer's lightning round: ADP is 'in the sweet spot' of this economy," 7:05  PM ET Thu, 30 Nov 2017","Jim Cramer rattled off his take on callers' favorite stocks, including one that was plagued by an activist investor."
Cramer finds 3 'tangential winners' of the electric car trend to buy," 7:12  PM ET Thu, 30 Nov 2017","Jim Cramer zeroed in on the powerful secular trend of electric vehicles, tapping Albemarle, FMC and PPG as the best ancillary plays."
Cramer says Trump's Washington will drive bank stocks even higher," 7:11  PM ET Thu, 30 Nov 2017",Jim Cramer argued that deregulation could give stocks like Citigroup and Bank of America even more room to run.
Cramer's 10 reasons for why the surging market feels like a melt-up," 7:10  AM ET Fri,  1 Dec 2017","Jim Cramer found 10 reasons for why the stock market, which drove the Dow up over 330 points on Thursday, may be getting ahead of itself."
Cramer Remix: 'Thinking like a millennial’ could help you win big," 7:00  PM ET Wed, 29 Nov 2017",Jim Cramer broke down his thesis on why investors should pay attention to popular trends among younger generations.
"Cramer's lightning round: If you own Tower Semiconductor, ride through this weakness"," 7:01  PM ET Wed, 29 Nov 2017","Jim Cramer zipped through his take on callers' favorite stocks, including a dipping chipmaker."
"Cramer labels new IPO Stitch Fix 'too risky,' tells investors to avoid stock"," 7:05  PM ET Wed, 29 Nov 2017","Jim Cramer unpacked newly public e-retailer Stitch Fix, a fresh IPO that he said needs to prove itself before it's safe to invest."
,,
"PVH CEO says he's 'disappointed' by tax reform, but facing 'strongest holiday season' in 4 years"," 7:04  PM ET Wed, 29 Nov 2017",Jim Cramer sat down with PVH Chairman and CEO Manny Chirico to get his take on the international and domestic retail space.
Cramer breaks down the market rotation and explains why investors should wait to buy," 7:04  PM ET Wed, 29 Nov 2017","Jim Cramer highlighted why being diversified is so important on days when certain sectors, like technology, get clobbered."
Cramer Remix: It’s time to buy Macy's stock," 7:02  PM ET Tue, 28 Nov 2017",Jim Cramer revealed why it could be a miracle on 34th street when it comes to the stock of Macy’s.
"Cramer's lightning round: Don't be greedy, buy Celgene here"," 7:02  PM ET Tue, 28 Nov 2017","Jim Cramer flew through his take on callers' favorite stocks, including one high-profile pharmaceutical play."
Cramer's charts show that the struggling stock of Square is not yet a bargain," 7:27  PM ET Tue, 28 Nov 2017",Jim Cramer and technician Tim Collins reviewed Square's weekly stock charts to find a fairly risky investment.
"CEO of RV maker Thor Industries attributes stock's 13% rise to younger buyers, 'changing lifestyle'"," 7:26  PM ET Tue, 28 Nov 2017",Jim Cramer spoke to Thor Industries President and CEO Bob Martin after earnings to find out what's driving the RV maker's gains.
,,
"Cramer explains the market's refusal to go down on Washington, North Korea news"," 7:23  PM ET Tue, 28 Nov 2017",Jim Cramer did his best to break down why stocks held onto their gains in the face of a barrage of typically bad news for markets.
Cramer Remix: Patience pays off in investing," 7:00  PM ET Fri, 29 Dec 2017",Jim Cramer shared some of the biggest pitfalls and benefits of investing for yourself without professional help.
Cramer's tips for finding a stock with an explosive growth story," 6:51  PM ET Fri, 29 Dec 2017","Jim Cramer knows a solid growth story is hard to come by. When he finds one, he hangs on for the ride."
Cramer admits his biggest investing mistakes," 6:45  PM ET Fri, 29 Dec 2017",Jim Cramer opened up the lesson book and shared his top blunders made on Wall Street.
Cramer dishes on who he resents most on Wall Street," 6:12  PM ET Fri, 29 Dec 2017",Jim Cramer dispelled the rumor that investors can't manage their own portfolios.
Santa Claus rally," 1:50  PM ET Mon, 27 Nov 2017","According to our data partners at Kensho, if you're considering buying stock before the end of the year, wait until the second half of December. The Dow, S&P, Nasdaq and Russell do much better in the second half of the month than they do in the first part of the month "
"Cramer Remix: Everyone adores this stock, here’s how to get in"," 7:01  PM ET Fri, 24 Aug 2018",Jim Cramer’s explaining when you should pounce on Lululemon before it reports. 
Cramer unveils the scariest pattern in the chart book," 7:10  PM ET Wed, 26 June 2019",Jim Cramer pinpoints the key chart signals that mean it's time to sell a stock.
This CIO says buy the dips until 'the market proves you're wrong'," 8:42  PM ET Wed, 22 Nov 2017","Pattern trading suggests buying the S&P 500 on the dips remains a good trade, for now, says Scott Nations, CIO and president at NationsShares."
"Cramer Remix: For investors scared of this market, it could be time to sell"," 7:01  PM ET Tue, 21 Nov 2017","Jim Cramer isn’t scared, but for investors who think there’s something terrible lurking in the market, this could be the time to lighten up."
"Cramer: Bitcoin and junk bonds are bubbles, but stocks aren't overvalued"," 7:22  PM ET Tue, 21 Nov 2017","Jim Cramer pushed back against the theory that stocks are overvalued and pinpointed other areas of the market, like bitcoin, that are."
Cramer's lightning round: Don't sell Deutsche Bank. It's just getting started," 7:16  PM ET Tue, 21 Nov 2017","Jim Cramer flew through his take on callers' favorite stocks, including that of one high-profile bank."
Marvell CEO on creating an internet of things infrastructure 'pure play' with Cavium acquisition," 7:22  PM ET Tue, 21 Nov 2017",Jim Cramer sat down with Marvell Technology Group President and CEO Matt Murphy to speak about Marvell's $6 billion acquisition of Cavium.
Cramer: The market's 'era of good feelings' is lifting stocks despite bad news," 7:22  PM ET Tue, 21 Nov 2017",Jim Cramer said that the stock market is in a pre-Thanksgiving daze where stocks climb despite negative press and sellers are hard to find.
,,
"Cramer Remix: Forget the $450M painting, Intuitive Surgical is the da Vinci of stocks","10:53  AM ET Tue, 21 Nov 2017",Jim Cramer explained why you don’t have to be a millionaire to buy a da Vinci.
Cramer's lightning round: I'm still not a buyer of Chipotle after the latest incident," 7:01  PM ET Mon, 20 Nov 2017","Jim Cramer rattled off his take on callers' favorite stocks, including the incident-plagued Chipotle."
"Cramer: The bulls are right about Ollie's Bargain Outlet, but the bears may have a point"," 3:20  PM ET Tue, 21 Nov 2017",Jim Cramer unpacked the bull and bear theses for Ollie's Bargain Outlet Holdings to determine which one is worth buying.
Cramer gets even more bullish on Netflix and Amazon after comments from Liberty Media's John Malone," 8:06  PM ET Mon, 20 Nov 2017","Jim Cramer gave investors his key takeaways from an interview with Liberty Media's John Malone that rocked his ""whole investment world."""
Cramer's take on Wall Street's top 15 'anointed' stocks for 2017," 7:59  PM ET Mon, 20 Nov 2017","Jim Cramer shared his thoughts on the top 15 stocks big investors are buying into year-end, including Alibaba, Apple and Amazon."
Cramer Remix: Amazon is the Death Star," 7:04  PM ET Fri, 17 Nov 2017",Jim Cramer discussed why Amazon’s competitors should be afraid of the e-commerce colossus.
,,
Cramer's lightning round: Wait for Universal Display to cool off before you buy," 7:04  PM ET Fri, 17 Nov 2017","Jim Cramer zipped through his take on callers' favorite stocks, including one lightning play."
Cramer says homegamers should stay away from the red-hot Chinese IPO market," 8:35  PM ET Fri, 17 Nov 2017",Jim Cramer examined the recent spate of Chinese companies coming public on U.S. exchanges and explained why they're not worth buying.
"Applied Materials CEO: 'The future of competition' is changing, and it's fueling our business"," 8:36  PM ET Fri, 17 Nov 2017",Jim Cramer caught up with Applied Materials President and CEO Gary Dickerson about his company's role in A.I. and big data.
Cramer's game plan: Stay focused on the individual companies," 9:05  PM ET Fri, 17 Nov 2017",Jim Cramer told investors not to blame earnings reports for tame market action and focus on individual stocks instead.
Cramer Remix: Warren Buffett selling IBM could be a sign it’s on the cusp of a turn," 7:00  PM ET Thu, 16 Nov 2017","Jim Cramer said the old-school tech company could be ready to make a comeback, despite the moves of Warren Buffett."
"Cramer's lightning round: After Opko Health's quarter, it's a 'neighborhood of pain'"," 7:05  PM ET Thu, 16 Nov 2017","Jim Cramer sped through his take on callers' favorite stocks, including a struggling medical play."
Dexcom CEO: We don't think patients will drop our feature-filled glucose monitors for Abbott's," 2:43  PM ET Fri, 17 Nov 2017","Jim Cramer sat down with Dexcom President and CEO Kevin Sayer, who said Abbott's glucose monitoring products have ""nothing"" on Dexcom's."
Cramer applauds Abbott CEO Miles White for his value creation and leadership," 2:42  PM ET Fri, 17 Nov 2017","Jim Cramer zoomed in on the track record of Abbott CEO Miles White, who has transformed the company since he took over in 1999."
Cramer: Thank Wal-Mart and Cisco's CEOs for their upside earnings surprises," 7:08  PM ET Thu, 16 Nov 2017",Jim Cramer gave kudos to the CEOs of Wal-Mart and Cisco for their turnaround stories after better-than-expected earnings reports.
After the Russel 2K trails S&P during Q3 earnings," 2:11  PM ET Thu, 16 Nov 2017","The Russell 2000 trailed the S&P by over two percent during Q3 earnings. After a similar performance, the Russel 2K tends to out perform a month later. Your Kensho stat of the day."
Cramer Remix: Investors should take shelter in Home Depot’s stock despite today’s action," 7:03  PM ET Wed, 15 Nov 2017",Jim Cramer explained why it’s still worth building a position in the stock of Home Depot.
Cramer's lightning round: Sell Mallinckrodt after its 'nutty' acquisition of Acthar," 7:06  PM ET Wed, 15 Nov 2017","Jim Cramer shared his take on callers' favorite stocks at lightning speed, including that of a pharmaceutical company."
"Cramer: If companies embrace the change millennials demand, they'll win long term"," 7:09  PM ET Wed, 15 Nov 2017",Jim Cramer shared some takeaways he's gleaned from studying how millennials interact with business.
Square CFO: We're experimenting with bitcoin to see if it's 'real'," 7:09  PM ET Wed, 15 Nov 2017",Jim Cramer spoke to Square Chief Financial Officer Sarah Friar about her company's latest foray into digital currency.
,,
Cramer urges investors not to 'jump to conclusions' based only on stock moves," 7:08  PM ET Wed, 15 Nov 2017","Jim Cramer cautioned investors about ""following the crowd,"" saying the method is often wrong and can be costly."
Cramer Remix: My leftover question for GE is 'Did you mislead us or yourselves?'," 7:07  PM ET Tue, 14 Nov 2017",Jim Cramer weighed in on General Electric’s decline and questioned the actions of the company’s management.
Cramer: GE's whole board of directors should go on the Wall of Shame," 7:13  PM ET Tue, 14 Nov 2017","Jim Cramer said General Electric could remain a broken company, even under new leadership, by not analyzing its past mistakes."
Cramer's lightning round: This is your chance to get into 'up stock' Idexx Labs," 7:07  PM ET Tue, 14 Nov 2017","Jim Cramer flew through his take on callers' favorite stocks, including a 'humanization of pets' play."
Cramer's charts unveil 5 ways you should diversify away from tech," 7:12  PM ET Tue, 14 Nov 2017","Jim Cramer advised that investors look into energy, retail and other non-tech investments as a few major tech stocks narrowly trade higher."
Cramer gives 5 reasons for buying the market's dip," 7:11  PM ET Tue, 14 Nov 2017",Jim Cramer suggested on Tuesday that investors do some careful buying on the stock market's downturn.
